Label,Text,clean_msg,msg_lower,token,spell,no_stopwords,msg_stemmed,msg_lemmatized,msg_n_gram_2,msg_n_gram_3,msg_n_gram_4,msg_string
Negative,"Mak ada saran gak bagi yg terpaksa covid? Sepupu ane selalu mengeluh pusing sperti vertigo begitu stelah menerima vaksin astra pdhal sblumnya gak pernah. Kata dia, terasa seperti ad sumbatan darah  kepala gitu pas vertigo datang. Ap itu efek kipi dari vaksin ya?",Mak ada saran gak bagi yg terpaksa covid Sepupu ane selalu mengeluh pusing sperti vertigo begitu stelah menerima vaksin astra pdhal sblumnya gak pernah Kata dia terasa seperti ad sumbatan darah  kepala gitu pas vertigo datang Ap itu efek kipi dari vaksin ya,mak ada saran gak bagi yg terpaksa covid sepupu ane selalu mengeluh pusing sperti vertigo begitu stelah menerima vaksin astra pdhal sblumnya gak pernah kata dia terasa seperti ad sumbatan darah  kepala gitu pas vertigo datang ap itu efek kipi dari vaksin ya,"['mak', 'ada', 'saran', 'gak', 'bagi', 'yg', 'terpaksa', 'covid', 'sepupu', 'ane', 'selalu', 'mengeluh', 'pusing', 'sperti', 'vertigo', 'begitu', 'stelah', 'menerima', 'vaksin', 'astra', 'pdhal', 'sblumnya', 'gak', 'pernah', 'kata', 'dia', 'terasa', 'seperti', 'ad', 'sumbatan', 'darah', 'kepala', 'gitu', 'pas', 'vertigo', 'datang', 'ap', 'itu', 'efek', 'kipi', 'dari', 'vaksin', 'ya']","['ibu', 'ada', 'saran', 'tidak', 'bagi', 'yang', 'terpaksa', 'covid', 'sepupu', 'saya', 'selalu', 'mengeluh', 'pusing', 'seperti', 'vertigo', 'begitu', 'setelah', 'menerima', 'vaksin', 'astrazeneca', 'padahal', 'sebelumnya', 'tidak', 'pernah', 'kata', 'dia', 'terasa', 'seperti', 'ada', 'sumbatan', 'darah', 'kepala', 'begitu', 'saat', 'vertigo', 'datang', 'apa', 'itu', 'efek', 'efek', 'dari', 'vaksin', 'ya']","['ibu', 'saran', 'terpaksa', 'covid', 'sepupu', 'selalu', 'mengeluh', 'pusing', 'vertigo', 'menerima', 'vaksin', 'astrazeneca', 'padahal', 'sebelumnya', 'pernah', 'kata', 'terasa', 'sumbatan', 'darah', 'kepala', 'vertigo', 'datang', 'apa', 'efek', 'efek', 'vaksin']","['ibu', 'saran', 'paksa', 'covid', 'sepupu', 'selalu', 'keluh', 'pusing', 'vertigo', 'terima', 'vaksin', 'astrazeneca', 'padahal', 'belum', 'pernah', 'kata', 'asa', 'sumbat', 'darah', 'kepala', 'vertigo', 'datang', 'apa', 'efek', 'efek', 'vaksin']","['ibu', 'saran', 'terpaksa', 'covid', 'sepupu', 'selalu', 'mengeluh', 'pusing', 'vertigo', 'menerima', 'vaksin', 'astrazeneca', 'padahal', 'sebelumnya', 'pernah', 'kata', 'terasa', 'sumbatan', 'darah', 'kepala', 'vertigo', 'datang', 'apa', 'efek', 'efek', 'vaksin']",[],[],[],ibu saran paksa covid sepupu selalu keluh pusing vertigo terima vaksin astrazeneca padahal belum pernah kata asa sumbat darah kepala vertigo datang apa efek efek vaksin
Negative,"Sebenarnya gw bingung korea selatan nih kasusnya naik lg tu knp.. pdhl % masyarakat dah vaksin.. bahkan bukan vaksin sinopak, tp astra pfizer moderna yg katanya efek nya -% apa udh ilang kali ye efeknya",Sebenarnya gw bingung korea selatan nih kasusnya naik lg tu knp pdhl  masyarakat dah vaksin bahkan bukan vaksin sinopak tp astra pfizer moderna yg katanya efek nya  apa udh ilang kali ye efeknya,sebenarnya gw bingung korea selatan nih kasusnya naik lg tu knp pdhl  masyarakat dah vaksin bahkan bukan vaksin sinopak tp astra pfizer moderna yg katanya efek nya  apa udh ilang kali ye efeknya,"['sebenarnya', 'gw', 'bingung', 'korea', 'selatan', 'nih', 'kasusnya', 'naik', 'lg', 'tu', 'knp', 'pdhl', 'masyarakat', 'dah', 'vaksin', 'bahkan', 'bukan', 'vaksin', 'sinopak', 'tp', 'astra', 'pfizer', 'moderna', 'yg', 'katanya', 'efek', 'nya', 'apa', 'udh', 'ilang', 'kali', 'ye', 'efeknya']","['sebenarnya', 'aku', 'bingung', 'korea', 'selatan', 'nih', 'kasusnya', 'naik', 'lagi', 'itu', 'kenapa', 'padahal', 'masyarakat', 'sudah', 'vaksin', 'bahkan', 'bukan', 'vaksin', 'sinovac', 'tapi', 'astrazeneca', 'pfizer', 'moderna', 'yang', 'katanya', 'efek', 'nya', 'apa', 'sudah', 'hilang', 'kali', 'ya', 'efeknya']","['sebenarnya', 'bingung', 'korea', 'selatan', 'kasusnya', 'naik', 'padahal', 'masyarakat', 'vaksin', 'bahkan', 'bukan', 'vaksin', 'sinovac', 'astrazeneca', 'pfizer', 'moderna', 'katanya', 'efek', 'apa', 'hilang', 'kali', 'efeknya']","['benar', 'bingung', 'korea', 'selatan', 'kasus', 'naik', 'padahal', 'masyarakat', 'vaksin', 'bahkan', 'bukan', 'vaksin', 'sinovac', 'astrazeneca', 'pfizer', 'moderna', 'kata', 'efek', 'apa', 'hilang', 'kali', 'efek']","['sebenarnya', 'bingung', 'korea', 'selatan', 'kasusnya', 'naik', 'padahal', 'masyarakat', 'vaksin', 'bahkan', 'bukan', 'vaksin', 'sinovac', 'astrazeneca', 'pfizer', 'moderna', 'katanya', 'efek', 'apa', 'hilang', 'kali', 'efeknya']",[],[],[],benar bingung korea selatan kasus naik padahal masyarakat vaksin bahkan bukan vaksin sinovac astrazeneca pfizer moderna kata efek apa hilang kali efek
Negative,"Soalnya kerabat dekat ku banyak yg gak bisa dapet Astra. Akhirnya lolos di Sinovac... Astra ini berat efek sampingnya. Dan Puskesmas bakal kasih tau vaksin yg cocok. Tensi rendah atau tinggi sedikit aja, ga bisa",Soalnya kerabat dekat ku banyak yg gak bisa dapet Astra Akhirnya lolos di Sinovac Astra ini berat efek sampingnya Dan Puskesmas bakal kasih tau vaksin yg cocok Tensi rendah atau tinggi sedikit aja ga bisa,soalnya kerabat dekat ku banyak yg gak bisa dapet astra akhirnya lolos di sinovac astra ini berat efek sampingnya dan puskesmas bakal kasih tau vaksin yg cocok tensi rendah atau tinggi sedikit aja ga bisa,"['soalnya', 'kerabat', 'dekat', 'ku', 'banyak', 'yg', 'gak', 'bisa', 'dapet', 'astra', 'akhirnya', 'lolos', 'di', 'sinovac', 'astra', 'ini', 'berat', 'efek', 'sampingnya', 'dan', 'puskesmas', 'bakal', 'kasih', 'tau', 'vaksin', 'yg', 'cocok', 'tensi', 'rendah', 'atau', 'tinggi', 'sedikit', 'aja', 'ga', 'bisa']","['soalnya', 'kerabat', 'dekat', 'ku', 'banyak', 'yang', 'tidak', 'bisa', 'dapat', 'astrazeneca', 'akhirnya', 'lulus', 'di', 'sinovac', 'astrazeneca', 'ini', 'berat', 'efek', 'sampingnya', 'dan', 'puskesmas', 'bakal', 'kasih', 'tau', 'vaksin', 'yang', 'cocok', 'tensi', 'rendah', 'atau', 'tinggi', 'sedikit', 'saja', 'tidak', 'bisa']","['soalnya', 'kerabat', 'dekat', 'banyak', 'astrazeneca', 'akhirnya', 'lulus', 'sinovac', 'astrazeneca', 'berat', 'efek', 'sampingnya', 'puskesmas', 'bakal', 'kasih', 'tau', 'vaksin', 'cocok', 'tensi', 'rendah', 'tinggi', 'sedikit']","['soal', 'kerabat', 'dekat', 'banyak', 'astrazeneca', 'akhir', 'lulus', 'sinovac', 'astrazeneca', 'berat', 'efek', 'samping', 'puskesmas', 'bakal', 'kasih', 'tau', 'vaksin', 'cocok', 'tensi', 'rendah', 'tinggi', 'sedikit']","['soalnya', 'kerabat', 'dekat', 'banyak', 'astrazeneca', 'akhirnya', 'lulu', 'sinovac', 'astrazeneca', 'berat', 'efek', 'sampingnya', 'puskesmas', 'bakal', 'kasih', 'tau', 'vaksin', 'cocok', 'tensi', 'rendah', 'tinggi', 'sedikit']",[],[],[],soal kerabat dekat banyak astrazeneca akhir lulus sinovac astrazeneca berat efek samping puskesmas bakal kasih tau vaksin cocok tensi rendah tinggi sedikit
Negative,"Hari ini aku vaksin astra dosis . Alhamdulillah akhirnya vaksin penuh juga tapi takut kaya pas dosis karna punya autoimun, eh efek sampingnya kaya kena covid beneran di aku :(",Hari ini aku vaksin astra dosis  Alhamdulillah akhirnya vaksin penuh juga tapi takut kaya pas dosis karna punya autoimun eh efek sampingnya kaya kena covid beneran di aku ,hari ini aku vaksin astra dosis  alhamdulillah akhirnya vaksin penuh juga tapi takut kaya pas dosis karna punya autoimun eh efek sampingnya kaya kena covid beneran di aku ,"['hari', 'ini', 'aku', 'vaksin', 'astra', 'dosis', 'alhamdulillah', 'akhirnya', 'vaksin', 'penuh', 'juga', 'tapi', 'takut', 'kaya', 'pas', 'dosis', 'karna', 'punya', 'autoimun', 'eh', 'efek', 'sampingnya', 'kaya', 'kena', 'covid', 'beneran', 'di', 'aku']","['hari', 'ini', 'aku', 'vaksin', 'astrazeneca', 'dosis', 'alhamdulillah', 'akhirnya', 'vaksin', 'penuh', 'juga', 'tapi', 'takut', 'seperti', 'saat', 'dosis', 'karena', 'punya', 'autoimun', 'eh', 'efek', 'sampingnya', 'seperti', 'terkena', 'covid', 'beneran', 'di', 'aku']","['hari', 'vaksin', 'astrazeneca', 'dosis', 'alhamdulillah', 'akhirnya', 'vaksin', 'penuh', 'takut', 'dosis', 'punya', 'autoimun', 'efek', 'sampingnya', 'terkena', 'covid', 'beneran']","['hari', 'vaksin', 'astrazeneca', 'dosis', 'alhamdulillah', 'akhir', 'vaksin', 'penuh', 'takut', 'dosis', 'punya', 'autoimun', 'efek', 'samping', 'kena', 'covid', 'beneran']","['hari', 'vaksin', 'astrazeneca', 'dosis', 'alhamdulillah', 'akhirnya', 'vaksin', 'penuh', 'takut', 'dosis', 'punya', 'autoimun', 'efek', 'sampingnya', 'terkena', 'covid', 'beneran']",[],[],[],hari vaksin astrazeneca dosis alhamdulillah akhir vaksin penuh takut dosis punya autoimun efek samping kena covid beneran
Negative,Gejala kebanyakan lembur ganti jaga tenggat waktu rasanya uda melebihi efek vaksin astra,Gejala kebanyakan lembur ganti jaga tenggat waktu rasanya uda melebihi efek vaksin astra,gejala kebanyakan lembur ganti jaga tenggat waktu rasanya uda melebihi efek vaksin astra,"['gejala', 'kebanyakan', 'lembur', 'ganti', 'jaga', 'tenggat', 'waktu', 'rasanya', 'uda', 'melebihi', 'efek', 'vaksin', 'astra']","['gejala', 'kebanyakan', 'lembur', 'ganti', 'jaga', 'tenggat', 'waktu', 'rasanya', 'sudah', 'melebihi', 'efek', 'vaksin', 'astrazeneca']","['gejala', 'kebanyakan', 'lembur', 'ganti', 'jaga', 'tenggat', 'waktu', 'rasanya', 'melebihi', 'efek', 'vaksin', 'astrazeneca']","['gejala', 'banyak', 'lembur', 'ganti', 'jaga', 'tenggat', 'waktu', 'rasa', 'lebih', 'efek', 'vaksin', 'astrazeneca']","['gejala', 'kebanyakan', 'lembur', 'ganti', 'jaga', 'tenggat', 'waktu', 'rasanya', 'melebihi', 'efek', 'vaksin', 'astrazeneca']",[],[],[],gejala banyak lembur ganti jaga tenggat waktu rasa lebih efek vaksin astrazeneca
Negative,"hari  suhu badan panas dan tangan pegal. Sehari setelah vaksin Suhu badan menurun, seluruh badan pegal dan muntah berak. dua hari setelah vaksin suhu badan panas, pusing, setiap jantung berdetak terasa ditusuk dan sesak nafas. tiga hari setelah vaksin suhu badan menurun & sesak nafas",hari  suhu badan panas dan tangan pegal Sehari setelah vaksin Suhu badan menurun seluruh badan pegal dan muntah berak dua hari setelah vaksin suhu badan panas pusing setiap jantung berdetak terasa ditusuk dan sesak nafas tiga hari setelah vaksin suhu badan menurun  sesak nafas,hari  suhu badan panas dan tangan pegal sehari setelah vaksin suhu badan menurun seluruh badan pegal dan muntah berak dua hari setelah vaksin suhu badan panas pusing setiap jantung berdetak terasa ditusuk dan sesak nafas tiga hari setelah vaksin suhu badan menurun  sesak nafas,"['hari', 'suhu', 'badan', 'panas', 'dan', 'tangan', 'pegal', 'sehari', 'setelah', 'vaksin', 'suhu', 'badan', 'menurun', 'seluruh', 'badan', 'pegal', 'dan', 'muntah', 'berak', 'dua', 'hari', 'setelah', 'vaksin', 'suhu', 'badan', 'panas', 'pusing', 'setiap', 'jantung', 'berdetak', 'terasa', 'ditusuk', 'dan', 'sesak', 'nafas', 'tiga', 'hari', 'setelah', 'vaksin', 'suhu', 'badan', 'menurun', 'sesak', 'nafas']","['hari', 'suhu', 'badan', 'panas', 'dan', 'tangan', 'pegal', 'sehari', 'setelah', 'vaksin', 'suhu', 'badan', 'menurun', 'seluruh', 'badan', 'pegal', 'dan', 'muntah', 'berak', 'dua', 'hari', 'setelah', 'vaksin', 'suhu', 'badan', 'panas', 'pusing', 'setiap', 'jantung', 'berdetak', 'terasa', 'ditusuk', 'dan', 'sesak', 'nafas', 'tiga', 'hari', 'setelah', 'vaksin', 'suhu', 'badan', 'menurun', 'sesak', 'nafas']","['hari', 'suhu', 'badan', 'panas', 'tangan', 'pegal', 'sehari', 'vaksin', 'suhu', 'badan', 'menurun', 'seluruh', 'badan', 'pegal', 'muntah', 'berak', 'hari', 'vaksin', 'suhu', 'badan', 'panas', 'pusing', 'jantung', 'berdetak', 'terasa', 'ditusuk', 'sesak', 'nafas', 'tiga', 'hari', 'vaksin', 'suhu', 'badan', 'menurun', 'sesak', 'nafas']","['hari', 'suhu', 'badan', 'panas', 'tangan', 'pegal', 'hari', 'vaksin', 'suhu', 'badan', 'turun', 'seluruh', 'badan', 'pegal', 'muntah', 'berak', 'hari', 'vaksin', 'suhu', 'badan', 'panas', 'pusing', 'jantung', 'detak', 'asa', 'tusuk', 'sesak', 'nafas', 'tiga', 'hari', 'vaksin', 'suhu', 'badan', 'turun', 'sesak', 'nafas']","['hari', 'suhu', 'badan', 'panas', 'tangan', 'pegal', 'sehari', 'vaksin', 'suhu', 'badan', 'menurun', 'seluruh', 'badan', 'pegal', 'muntah', 'berak', 'hari', 'vaksin', 'suhu', 'badan', 'panas', 'pusing', 'jantung', 'berdetak', 'terasa', 'ditusuk', 'sesak', 'nafas', 'tiga', 'hari', 'vaksin', 'suhu', 'badan', 'menurun', 'sesak', 'nafas']",[],[],[],hari suhu badan panas tangan pegal hari vaksin suhu badan turun seluruh badan pegal muntah berak hari vaksin suhu badan panas pusing jantung detak asa tusuk sesak nafas tiga hari vaksin suhu badan turun sesak nafas
Negative,"vaksin nya apa dulu deh, sinovac atau astra? kalau astra sih katanya emang lebih sakit, kalau aku pribadi pas vaksin, vaksin nya itu sinovac tapi di aku gak ada efek apa apa juga cuma ngilu doang di awal",vaksin nya apa dulu deh sinovac atau astra kalau astra sih katanya emang lebih sakit kalau aku pribadi pas vaksin vaksin nya itu sinovac tapi di aku gak ada efek apa apa juga cuma ngilu doang di awal,vaksin nya apa dulu deh sinovac atau astra kalau astra sih katanya emang lebih sakit kalau aku pribadi pas vaksin vaksin nya itu sinovac tapi di aku gak ada efek apa apa juga cuma ngilu doang di awal,"['vaksin', 'nya', 'apa', 'dulu', 'deh', 'sinovac', 'atau', 'astra', 'kalau', 'astra', 'sih', 'katanya', 'emang', 'lebih', 'sakit', 'kalau', 'aku', 'pribadi', 'pas', 'vaksin', 'vaksin', 'nya', 'itu', 'sinovac', 'tapi', 'di', 'aku', 'gak', 'ada', 'efek', 'apa', 'apa', 'juga', 'cuma', 'ngilu', 'doang', 'di', 'awal']","['vaksin', 'nya', 'apa', 'dahulu', 'deh', 'sinovac', 'atau', 'astrazeneca', 'kalau', 'astrazeneca', 'sih', 'katanya', 'memang', 'lebih', 'sakit', 'kalau', 'aku', 'pribadi', 'saat', 'vaksin', 'vaksin', 'nya', 'itu', 'sinovac', 'tapi', 'di', 'aku', 'tidak', 'ada', 'efek', 'apa', 'apa', 'juga', 'hanya', 'nyeri', 'saja', 'di', 'awal']","['vaksin', 'apa', 'sinovac', 'astrazeneca', 'kalau', 'astrazeneca', 'katanya', 'memang', 'lebih', 'sakit', 'kalau', 'pribadi', 'vaksin', 'vaksin', 'sinovac', 'efek', 'apa', 'apa', 'nyeri', 'awal']","['vaksin', 'apa', 'sinovac', 'astrazeneca', 'kalau', 'astrazeneca', 'kata', 'memang', 'lebih', 'sakit', 'kalau', 'pribadi', 'vaksin', 'vaksin', 'sinovac', 'efek', 'apa', 'apa', 'nyeri', 'awal']","['vaksin', 'apa', 'sinovac', 'astrazeneca', 'kalau', 'astrazeneca', 'katanya', 'memang', 'lebih', 'sakit', 'kalau', 'pribadi', 'vaksin', 'vaksin', 'sinovac', 'efek', 'apa', 'apa', 'nyeri', 'awal']",[],[],[],vaksin apa sinovac astrazeneca kalau astrazeneca kata memang lebih sakit kalau pribadi vaksin vaksin sinovac efek apa apa nyeri awal
Negative,spertinya besok aku vaksin dosis . kalo msih ada stoknya sih. gmna ya efek dosis vaksin astrazeneca? pas dosis dulu menyiksa,spertinya besok aku vaksin dosis  kalo msih ada stoknya sih gmna ya efek dosis vaksin astrazeneca pas dosis dulu menyiksa,spertinya besok aku vaksin dosis  kalo msih ada stoknya sih gmna ya efek dosis vaksin astrazeneca pas dosis dulu menyiksa,"['spertinya', 'besok', 'aku', 'vaksin', 'dosis', 'kalo', 'msih', 'ada', 'stoknya', 'sih', 'gmna', 'ya', 'efek', 'dosis', 'vaksin', 'astrazeneca', 'pas', 'dosis', 'dulu', 'menyiksa']","['sepertinya', 'besok', 'aku', 'vaksin', 'dosis', 'kalau', 'masih', 'ada', 'stoknya', 'sih', 'bagaimana', 'ya', 'efek', 'dosis', 'vaksin', 'astrazeneca', 'saat', 'dosis', 'dahulu', 'menyiksa']","['sepertinya', 'besok', 'vaksin', 'dosis', 'kalau', 'stoknya', 'bagaimana', 'efek', 'dosis', 'vaksin', 'astrazeneca', 'dosis', 'menyiksa']","['seperti', 'besok', 'vaksin', 'dosis', 'kalau', 'stok', 'bagaimana', 'efek', 'dosis', 'vaksin', 'astrazeneca', 'dosis', 'siksa']","['sepertinya', 'besok', 'vaksin', 'dosis', 'kalau', 'stoknya', 'bagaimana', 'efek', 'dosis', 'vaksin', 'astrazeneca', 'dosis', 'menyiksa']",[],[],[],seperti besok vaksin dosis kalau stok bagaimana efek dosis vaksin astrazeneca dosis siksa
Negative,"ga tau efek dulu pas kena covid gatau efek vaksin astra, sekarang kalo makan yang ada unsur hewani nya jadi mual, rasanya tengik, sama kecium bau yang aneh banget. apalagi kalo makan telor duh sumpah pengen muntah:( ada yang pernah ngalamin?",ga tau efek dulu pas kena covid gatau efek vaksin astra sekarang kalo makan yang ada unsur hewani nya jadi mual rasanya tengik sama kecium bau yang aneh banget apalagi kalo makan telor duh sumpah pengen muntah ada yang pernah ngalamin,ga tau efek dulu pas kena covid gatau efek vaksin astra sekarang kalo makan yang ada unsur hewani nya jadi mual rasanya tengik sama kecium bau yang aneh banget apalagi kalo makan telor duh sumpah pengen muntah ada yang pernah ngalamin,"['ga', 'tau', 'efek', 'dulu', 'pas', 'kena', 'covid', 'gatau', 'efek', 'vaksin', 'astra', 'sekarang', 'kalo', 'makan', 'yang', 'ada', 'unsur', 'hewani', 'nya', 'jadi', 'mual', 'rasanya', 'tengik', 'sama', 'kecium', 'bau', 'yang', 'aneh', 'banget', 'apalagi', 'kalo', 'makan', 'telor', 'duh', 'sumpah', 'pengen', 'muntah', 'ada', 'yang', 'pernah', 'ngalamin']","['tidak', 'tau', 'efek', 'dahulu', 'saat', 'terkena', 'covid', 'gatau', 'efek', 'vaksin', 'astrazeneca', 'sekarang', 'kalau', 'makan', 'yang', 'ada', 'unsur', 'hewani', 'nya', 'jadi', 'mual', 'rasanya', 'tengik', 'sama', 'kecium', 'bau', 'yang', 'aneh', 'sekali', 'apalagi', 'kalau', 'makan', 'telur', 'duh', 'sumpah', 'ingin', 'muntah', 'ada', 'yang', 'pernah', 'mengalami']","['tau', 'efek', 'terkena', 'covid', 'gatau', 'efek', 'vaksin', 'astrazeneca', 'sekarang', 'kalau', 'makan', 'unsur', 'hewani', 'jadi', 'mual', 'rasanya', 'tengik', 'sama', 'kecium', 'bau', 'aneh', 'sekali', 'kalau', 'makan', 'telur', 'sumpah', 'muntah', 'pernah', 'mengalami']","['tau', 'efek', 'kena', 'covid', 'gatau', 'efek', 'vaksin', 'astrazeneca', 'sekarang', 'kalau', 'makan', 'unsur', 'hewani', 'jadi', 'mual', 'rasa', 'tengik', 'sama', 'cium', 'bau', 'aneh', 'sekali', 'kalau', 'makan', 'telur', 'sumpah', 'muntah', 'pernah', 'alami']","['tau', 'efek', 'terkena', 'covid', 'gatau', 'efek', 'vaksin', 'astrazeneca', 'sekarang', 'kalau', 'makan', 'unsur', 'hewani', 'jadi', 'mual', 'rasanya', 'tengik', 'sama', 'kecium', 'bau', 'aneh', 'sekali', 'kalau', 'makan', 'telur', 'sumpah', 'muntah', 'pernah', 'mengalami']",[],[],[],tau efek kena covid gatau efek vaksin astrazeneca sekarang kalau makan unsur hewani jadi mual rasa tengik sama cium bau aneh sekali kalau makan telur sumpah muntah pernah alami
Negative,"Gak nyangka banget kalo efek nya vaksin astra sesakit ini :"" Pala pusing sekali ,mual ,kaki njarem semua wes lah gak ngerti lagi uda kek pasrah",Gak nyangka banget kalo efek nya vaksin astra sesakit ini  Pala pusing sekali mual kaki njarem semua wes lah gak ngerti lagi uda kek pasrah,gak nyangka banget kalo efek nya vaksin astra sesakit ini  pala pusing sekali mual kaki njarem semua wes lah gak ngerti lagi uda kek pasrah,"['gak', 'nyangka', 'banget', 'kalo', 'efek', 'nya', 'vaksin', 'astra', 'sesakit', 'ini', 'pala', 'pusing', 'sekali', 'mual', 'kaki', 'njarem', 'semua', 'wes', 'lah', 'gak', 'ngerti', 'lagi', 'uda', 'kek', 'pasrah']","['tidak', 'menyangka', 'sekali', 'kalau', 'efek', 'nya', 'vaksin', 'astrazeneca', 'sesakit', 'ini', 'kepala', 'pusing', 'sekali', 'mual', 'kaki', 'nyeri', 'semua', 'sudah', 'lah', 'tidak', 'tau', 'lagi', 'sudah', 'seperti', 'pasrah']","['menyangka', 'sekali', 'kalau', 'efek', 'vaksin', 'astrazeneca', 'sesakit', 'kepala', 'pusing', 'sekali', 'mual', 'kaki', 'nyeri', 'semua', 'tau', 'pasrah']","['sangka', 'sekali', 'kalau', 'efek', 'vaksin', 'astrazeneca', 'sakit', 'kepala', 'pusing', 'sekali', 'mual', 'kaki', 'nyeri', 'semua', 'tau', 'pasrah']","['menyangka', 'sekali', 'kalau', 'efek', 'vaksin', 'astrazeneca', 'sesakit', 'kepala', 'pusing', 'sekali', 'mual', 'kaki', 'nyeri', 'semua', 'tau', 'pasrah']",[],[],[],sangka sekali kalau efek vaksin astrazeneca sakit kepala pusing sekali mual kaki nyeri semua tau pasrah
