Label,Text,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,clean_msg,msg_lower,token,spell,no_stopwords,msg_stemmed,msg_lemmatized,msg_n_gram_2,msg_n_gram_3,msg_n_gram_4,msg_string
negative,Siapa yang tempo hari ngotot mau vaksin pfizer? Norwegia: Orang Meninggal Diduga Karena Efek Samping Vaksin Pfizer,,,,,,,Siapa yang tempo hari ngotot mau vaksin pfizer Norwegia Orang Meninggal Diduga Karena Efek Samping Vaksin Pfizer,siapa yang tempo hari ngotot mau vaksin pfizer norwegia orang meninggal diduga karena efek samping vaksin pfizer,"['siapa', 'yang', 'tempo', 'hari', 'ngotot', 'mau', 'vaksin', 'pfizer', 'norwegia', 'orang', 'meninggal', 'diduga', 'karena', 'efek', 'samping', 'vaksin', 'pfizer']","['siapa', 'yang', 'tempo', 'hari', 'ngotot', 'mau', 'vaksin', 'pfizer', 'norwegia', 'orang', 'meninggal', 'diduga', 'karena', 'efek', 'samping', 'vaksin', 'pfizer']","['siapa', 'tempo', 'hari', 'ngotot', 'mau', 'vaksin', 'pfizer', 'norwegia', 'orang', 'meninggal', 'diduga', 'efek', 'samping', 'vaksin', 'pfizer']","['siapa', 'tempo', 'hari', 'ngotot', 'mau', 'vaksin', 'pfizer', 'norwegia', 'orang', 'tinggal', 'duga', 'efek', 'samping', 'vaksin', 'pfizer']","['siapa', 'tempo', 'hari', 'ngotot', 'mau', 'vaksin', 'pfizer', 'norwegia', 'orang', 'meninggal', 'diduga', 'efek', 'samping', 'vaksin', 'pfizer']",[],[],[],siapa tempo hari ngotot mau vaksin pfizer norwegia orang tinggal duga efek samping vaksin pfizer
negative,"macam - macam efek pasca vaksin Pfizer: Leher kaku dan tak bisa digerakkan, Sulit bernafas, Rasa sakit yg menjalar di bahu dan tulang belakang, Mual, nafas terengah-engah saat tidur atau baring. Dua hari dirawat di RS belum begitu membaik. Ini bukan mau menakuti ya tapi fakta.",,,,,,,macam  macam efek pasca vaksin Pfizer Leher kaku dan tak bisa digerakkan Sulit bernafas Rasa sakit yg menjalar di bahu dan tulang belakang Mual nafas terengahengah saat tidur atau baring Dua hari dirawat di RS belum begitu membaik Ini bukan mau menakuti ya tapi fakta,macam  macam efek pasca vaksin pfizer leher kaku dan tak bisa digerakkan sulit bernafas rasa sakit yg menjalar di bahu dan tulang belakang mual nafas terengahengah saat tidur atau baring dua hari dirawat di rs belum begitu membaik ini bukan mau menakuti ya tapi fakta,"['macam', 'macam', 'efek', 'pasca', 'vaksin', 'pfizer', 'leher', 'kaku', 'dan', 'tak', 'bisa', 'digerakkan', 'sulit', 'bernafas', 'rasa', 'sakit', 'yg', 'menjalar', 'di', 'bahu', 'dan', 'tulang', 'belakang', 'mual', 'nafas', 'terengahengah', 'saat', 'tidur', 'atau', 'baring', 'dua', 'hari', 'dirawat', 'di', 'rs', 'belum', 'begitu', 'membaik', 'ini', 'bukan', 'mau', 'menakuti', 'ya', 'tapi', 'fakta']","['macam', 'macam', 'efek', 'sesudah', 'vaksin', 'pfizer', 'leher', 'kaku', 'dan', 'tidak', 'bisa', 'digerakkan', 'sulit', 'bernafas', 'rasa', 'sakit', 'yang', 'menjalar', 'di', 'bahu', 'dan', 'tulang', 'belakang', 'mual', 'nafas', 'termengahmengah', 'saat', 'tidur', 'atau', 'baring', 'dua', 'hari', 'dirawat', 'di', 'rs', 'belum', 'begitu', 'membaik', 'ini', 'bukan', 'mau', 'menakuti', 'ya', 'tapi', 'fakta']","['macam', 'macam', 'efek', 'vaksin', 'pfizer', 'leher', 'kaku', 'digerakkan', 'sulit', 'bernafas', 'rasa', 'sakit', 'menjalar', 'bahu', 'tulang', 'belakang', 'mual', 'nafas', 'termengahmengah', 'tidur', 'baring', 'hari', 'dirawat', 'rs', 'membaik', 'bukan', 'mau', 'menakuti', 'fakta']","['macam', 'macam', 'efek', 'vaksin', 'pfizer', 'leher', 'kaku', 'gerak', 'sulit', 'nafas', 'rasa', 'sakit', 'jalar', 'bahu', 'tulang', 'belakang', 'mual', 'nafas', 'termengahmengah', 'tidur', 'baring', 'hari', 'rawat', 'rs', 'baik', 'bukan', 'mau', 'takut', 'fakta']","['macam', 'macam', 'efek', 'vaksin', 'pfizer', 'leher', 'kaku', 'digerakkan', 'sulit', 'bernafas', 'rasa', 'sakit', 'menjalar', 'bahu', 'tulang', 'belakang', 'mual', 'nafas', 'termengahmengah', 'tidur', 'baring', 'hari', 'dirawat', 'r', 'membaik', 'bukan', 'mau', 'menakuti', 'fakta']",[],[],[],macam macam efek vaksin pfizer leher kaku gerak sulit nafas rasa sakit jalar bahu tulang belakang mual nafas termengahmengah tidur baring hari rawat rs baik bukan mau takut fakta
positive,"Hikmahnya pake Sinovac. Dulu gw termasuk yg meragukan pilihan pemerintah ke Sinovac tapi liat karakter + udah paling bener dpt Sinovac sebagai vaksin utama soalnya kalo pfizer sama moderna, khawatir gw hoaxnya makin"" gegara efek sampingnya yg wow",,,,,,,Hikmahnya pake Sinovac Dulu gw termasuk yg meragukan pilihan pemerintah ke Sinovac tapi liat karakter  udah paling bener dpt Sinovac sebagai vaksin utama soalnya kalo pfizer sama moderna khawatir gw hoaxnya makin gegara efek sampingnya yg wow,hikmahnya pake sinovac dulu gw termasuk yg meragukan pilihan pemerintah ke sinovac tapi liat karakter  udah paling bener dpt sinovac sebagai vaksin utama soalnya kalo pfizer sama moderna khawatir gw hoaxnya makin gegara efek sampingnya yg wow,"['hikmahnya', 'pake', 'sinovac', 'dulu', 'gw', 'termasuk', 'yg', 'meragukan', 'pilihan', 'pemerintah', 'ke', 'sinovac', 'tapi', 'liat', 'karakter', 'udah', 'paling', 'bener', 'dpt', 'sinovac', 'sebagai', 'vaksin', 'utama', 'soalnya', 'kalo', 'pfizer', 'sama', 'moderna', 'khawatir', 'gw', 'hoaxnya', 'makin', 'gegara', 'efek', 'sampingnya', 'yg', 'wow']","['hikmahnya', 'pakai', 'sinovac', 'dahulu', 'aku', 'termasuk', 'yang', 'meragukan', 'pilihan', 'pemerintah', 'ke', 'sinovac', 'tapi', 'lihat', 'karakter', 'sudah', 'paling', 'benar', 'dapat', 'sinovac', 'sebagai', 'vaksin', 'utama', 'soalnya', 'kalau', 'pfizer', 'sama', 'moderna', 'khawatir', 'aku', 'palsunya', 'makin', 'karena', 'efek', 'sampingnya', 'yang', 'wow']","['hikmahnya', 'pakai', 'sinovac', 'termasuk', 'meragukan', 'pilihan', 'pemerintah', 'sinovac', 'lihat', 'karakter', 'paling', 'benar', 'sinovac', 'vaksin', 'utama', 'soalnya', 'kalau', 'pfizer', 'sama', 'moderna', 'khawatir', 'palsunya', 'makin', 'efek', 'sampingnya']","['hikmah', 'pakai', 'sinovac', 'masuk', 'ragu', 'pilih', 'perintah', 'sinovac', 'lihat', 'karakter', 'paling', 'benar', 'sinovac', 'vaksin', 'utama', 'soal', 'kalau', 'pfizer', 'sama', 'moderna', 'khawatir', 'palsu', 'makin', 'efek', 'samping']","['hikmahnya', 'pakai', 'sinovac', 'termasuk', 'meragukan', 'pilihan', 'pemerintah', 'sinovac', 'lihat', 'karakter', 'paling', 'benar', 'sinovac', 'vaksin', 'utama', 'soalnya', 'kalau', 'pfizer', 'sama', 'moderna', 'khawatir', 'palsunya', 'makin', 'efek', 'sampingnya']",[],[],[],hikmah pakai sinovac masuk ragu pilih perintah sinovac lihat karakter paling benar sinovac vaksin utama soal kalau pfizer sama moderna khawatir palsu makin efek samping
negative,"Sebaiknya otoritas kita menyoroti kejadian di Norwegia. The Norwegian Medicines Agency melaporkan ada orang menderita efek samping, di antaranya berakibat fatal setelah disuntik vaksin Pfizer. Semua kematian adalah orang yang berusia di atas .",,,,,,,Sebaiknya otoritas kita menyoroti kejadian di Norwegia The Norwegian Medicines Agency melaporkan ada orang menderita efek samping di antaranya berakibat fatal setelah disuntik vaksin Pfizer Semua kematian adalah orang yang berusia di atas ,sebaiknya otoritas kita menyoroti kejadian di norwegia the norwegian medicines agency melaporkan ada orang menderita efek samping di antaranya berakibat fatal setelah disuntik vaksin pfizer semua kematian adalah orang yang berusia di atas ,"['sebaiknya', 'otoritas', 'kita', 'menyoroti', 'kejadian', 'di', 'norwegia', 'the', 'norwegian', 'medicines', 'agency', 'melaporkan', 'ada', 'orang', 'menderita', 'efek', 'samping', 'di', 'antaranya', 'berakibat', 'fatal', 'setelah', 'disuntik', 'vaksin', 'pfizer', 'semua', 'kematian', 'adalah', 'orang', 'yang', 'berusia', 'di', 'atas']","['sebaiknya', 'otoritas', 'kita', 'menyoroti', 'kejadian', 'di', 'norwegia', 'the', 'norwegian', 'medicines', 'agency', 'melaporkan', 'ada', 'orang', 'menderita', 'efek', 'samping', 'di', 'antaranya', 'berakibat', 'fatal', 'setelah', 'disuntik', 'vaksin', 'pfizer', 'semua', 'kematian', 'adalah', 'orang', 'yang', 'berusia', 'di', 'atas']","['sebaiknya', 'otoritas', 'menyoroti', 'kejadian', 'norwegia', 'norwegian', 'medicines', 'agency', 'melaporkan', 'orang', 'menderita', 'efek', 'samping', 'antaranya', 'berakibat', 'fatal', 'disuntik', 'vaksin', 'pfizer', 'semua', 'kematian', 'orang', 'berusia', 'atas']","['baik', 'otoritas', 'sorot', 'jadi', 'norwegia', 'norwegian', 'medicines', 'agency', 'lapor', 'orang', 'derita', 'efek', 'samping', 'antara', 'akibat', 'fatal', 'suntik', 'vaksin', 'pfizer', 'semua', 'mati', 'orang', 'usia', 'atas']","['sebaiknya', 'otoritas', 'menyoroti', 'kejadian', 'norwegia', 'norwegian', 'medicine', 'agency', 'melaporkan', 'orang', 'menderita', 'efek', 'samping', 'antaranya', 'berakibat', 'fatal', 'disuntik', 'vaksin', 'pfizer', 'semua', 'kematian', 'orang', 'berusia', 'atas']",[],[],[],baik otoritas sorot jadi norwegia norwegian medicines agency lapor orang derita efek samping antara akibat fatal suntik vaksin pfizer semua mati orang usia atas
positive,"Efek umum sesudah divaksin. Pfizer, Sinovac, Sinopharm: hampir ga ada efek.",,,,,,,Efek umum sesudah divaksin Pfizer Sinovac Sinopharm hampir ga ada efek,efek umum sesudah divaksin pfizer sinovac sinopharm hampir ga ada efek,"['efek', 'umum', 'sesudah', 'divaksin', 'pfizer', 'sinovac', 'sinopharm', 'hampir', 'ga', 'ada', 'efek']","['efek', 'umum', 'sesudah', 'divaksin', 'pfizer', 'sinovac', 'sinopharm', 'hampir', 'tidak', 'ada', 'efek']","['efek', 'umum', 'divaksin', 'pfizer', 'sinovac', 'sinopharm', 'hampir', 'efek']","['efek', 'umum', 'vaksin', 'pfizer', 'sinovac', 'sinopharm', 'hampir', 'efek']","['efek', 'umum', 'divaksin', 'pfizer', 'sinovac', 'sinopharm', 'hampir', 'efek']",[],[],[],efek umum vaksin pfizer sinovac sinopharm hampir efek
negative,"Efek vaksin pfizer di tubuh gue astagfirullah sih, semoga dosis kedua nanti ga makin aneh yaaa.. ini dosis pertama aja udah cukup bikin mau nangis semaleman",,,,,,,Efek vaksin pfizer di tubuh gue astagfirullah sih semoga dosis kedua nanti ga makin aneh yaaa ini dosis pertama aja udah cukup bikin mau nangis semaleman,efek vaksin pfizer di tubuh gue astagfirullah sih semoga dosis kedua nanti ga makin aneh yaaa ini dosis pertama aja udah cukup bikin mau nangis semaleman,"['efek', 'vaksin', 'pfizer', 'di', 'tubuh', 'gue', 'astagfirullah', 'sih', 'semoga', 'dosis', 'kedua', 'nanti', 'ga', 'makin', 'aneh', 'yaaa', 'ini', 'dosis', 'pertama', 'aja', 'udah', 'cukup', 'bikin', 'mau', 'nangis', 'semaleman']","['efek', 'vaksin', 'pfizer', 'di', 'tubuh', 'aku', 'astagfirullah', 'sih', 'semoga', 'dosis', 'kedua', 'nanti', 'tidak', 'makin', 'aneh', 'ya', 'ini', 'dosis', 'pertama', 'saja', 'sudah', 'cukup', 'buat', 'mau', 'menangis', 'semalaman']","['efek', 'vaksin', 'pfizer', 'tubuh', 'astagfirullah', 'semoga', 'dosis', 'kedua', 'makin', 'aneh', 'dosis', 'pertama', 'cukup', 'buat', 'mau', 'menangis', 'semalaman']","['efek', 'vaksin', 'pfizer', 'tubuh', 'astagfirullah', 'moga', 'dosis', 'dua', 'makin', 'aneh', 'dosis', 'pertama', 'cukup', 'buat', 'mau', 'menang', 'malam']","['efek', 'vaksin', 'pfizer', 'tubuh', 'astagfirullah', 'semoga', 'dosis', 'kedua', 'makin', 'aneh', 'dosis', 'pertama', 'cukup', 'buat', 'mau', 'menangis', 'semalaman']",[],[],[],efek vaksin pfizer tubuh astagfirullah moga dosis dua makin aneh dosis pertama cukup buat mau menang malam
positive,Kasian ananknya abis suntik pfizer.. tapi tenang efek samping langka dan teratasi.,,,,,,,Kasian ananknya abis suntik pfizer tapi tenang efek samping langka dan teratasi,kasian ananknya abis suntik pfizer tapi tenang efek samping langka dan teratasi,"['kasian', 'ananknya', 'abis', 'suntik', 'pfizer', 'tapi', 'tenang', 'efek', 'samping', 'langka', 'dan', 'teratasi']","['kasihan', 'anaknya', 'setelah', 'suntik', 'pfizer', 'tapi', 'tenang', 'efek', 'samping', 'langka', 'dan', 'teratasi']","['kasihan', 'anaknya', 'suntik', 'pfizer', 'tenang', 'efek', 'samping', 'langka', 'teratasi']","['kasihan', 'anak', 'suntik', 'pfizer', 'tenang', 'efek', 'samping', 'langka', 'atas']","['kasihan', 'anaknya', 'suntik', 'pfizer', 'tenang', 'efek', 'samping', 'langka', 'teratasi']",[],[],[],kasihan anak suntik pfizer tenang efek samping langka atas
negative,Asli pfizer efek nyeri nya dapettt bgtttt... kebangun badan saki semuaaa... Tangan kiri bahkanbuat gerak sakit jugaa,,,,,,,Asli pfizer efek nyeri nya dapettt bgtttt kebangun badan saki semuaaa Tangan kiri bahkanbuat gerak sakit jugaa,asli pfizer efek nyeri nya dapettt bgtttt kebangun badan saki semuaaa tangan kiri bahkanbuat gerak sakit jugaa,"['asli', 'pfizer', 'efek', 'nyeri', 'nya', 'dapettt', 'bgtttt', 'kebangun', 'badan', 'saki', 'semuaaa', 'tangan', 'kiri', 'bahkanbuat', 'gerak', 'sakit', 'jugaa']","['asli', 'pfizer', 'efek', 'nyeri', 'nya', 'dapat', 'sekali', 'terbangun', 'badan', 'sakit', 'semua', 'tangan', 'kiri', 'bahkanbuat', 'gerak', 'sakit', 'jugaa']","['asli', 'pfizer', 'efek', 'nyeri', 'sekali', 'terbangun', 'badan', 'sakit', 'semua', 'tangan', 'kiri', 'bahkanbuat', 'gerak', 'sakit', 'jugaa']","['asli', 'pfizer', 'efek', 'nyeri', 'sekali', 'bangun', 'badan', 'sakit', 'semua', 'tangan', 'kiri', 'bahkanbuat', 'gerak', 'sakit', 'jugaa']","['asli', 'pfizer', 'efek', 'nyeri', 'sekali', 'terbangun', 'badan', 'sakit', 'semua', 'tangan', 'kiri', 'bahkanbuat', 'gerak', 'sakit', 'jugaa']",[],[],[],asli pfizer efek nyeri sekali bangun badan sakit semua tangan kiri bahkanbuat gerak sakit jugaa
negative,Pfizer efek na uwow sekali jengat jengat,,,,,,,Pfizer efek na uwow sekali jengat jengat,pfizer efek na uwow sekali jengat jengat,"['pfizer', 'efek', 'na', 'uwow', 'sekali', 'jengat', 'jengat']","['pfizer', 'efek', 'nya', 'uwow', 'sekali', 'jengat', 'jengat']","['pfizer', 'efek', 'sekali', 'jengat', 'jengat']","['pfizer', 'efek', 'sekali', 'jengat', 'jengat']","['pfizer', 'efek', 'sekali', 'jengat', 'jengat']",[],[],[],pfizer efek sekali jengat jengat
positive,setelah jam baru muncul efek booster Pfizer. Syukur weekend jadi bisa rebahan seharian haha,,,,,,,setelah jam baru muncul efek booster Pfizer Syukur weekend jadi bisa rebahan seharian haha,setelah jam baru muncul efek booster pfizer syukur weekend jadi bisa rebahan seharian haha,"['setelah', 'jam', 'baru', 'muncul', 'efek', 'booster', 'pfizer', 'syukur', 'weekend', 'jadi', 'bisa', 'rebahan', 'seharian', 'haha']","['setelah', 'jam', 'baru', 'muncul', 'efek', 'booster', 'pfizer', 'syukur', 'weekend', 'jadi', 'bisa', 'rebahan', 'seharian', 'haha']","['jam', 'baru', 'muncul', 'efek', 'booster', 'pfizer', 'syukur', 'weekend', 'jadi', 'rebahan', 'seharian']","['jam', 'baru', 'muncul', 'efek', 'booster', 'pfizer', 'syukur', 'weekend', 'jadi', 'rebah', 'hari']","['jam', 'baru', 'muncul', 'efek', 'booster', 'pfizer', 'syukur', 'weekend', 'jadi', 'rebahan', 'seharian']",[],[],[],jam baru muncul efek booster pfizer syukur weekend jadi rebah hari
