Label,Text,clean_msg,msg_lower,token,spell,no_stopwords,msg_stemmed,msg_lemmatized,msg_n_gram_2,msg_n_gram_3,msg_n_gram_4,msg_string
Negative,"Kok aing gatel disekitar leher, telinga sama kedua tangan ya. Efek vaksin sinovac gitu?",Kok aing gatel disekitar leher telinga sama kedua tangan ya Efek vaksin sinovac gitu,kok aing gatel disekitar leher telinga sama kedua tangan ya efek vaksin sinovac gitu,"['kok', 'aing', 'gatel', 'disekitar', 'leher', 'telinga', 'sama', 'kedua', 'tangan', 'ya', 'efek', 'vaksin', 'sinovac', 'gitu']","['kok', 'saya', 'gatal', 'disekitar', 'leher', 'telinga', 'sama', 'kedua', 'tangan', 'ya', 'efek', 'vaksin', 'sinovac', 'begitu']","['gatal', 'disekitar', 'leher', 'telinga', 'sama', 'kedua', 'tangan', 'efek', 'vaksin', 'sinovac']","['gatal', 'sekitar', 'leher', 'telinga', 'sama', 'dua', 'tangan', 'efek', 'vaksin', 'sinovac']","['gatal', 'disekitar', 'leher', 'telinga', 'sama', 'kedua', 'tangan', 'efek', 'vaksin', 'sinovac']",[],[],[],gatal sekitar leher telinga sama dua tangan efek vaksin sinovac
Negative,"Biasanya memang gt . Efek dosis di masing vaksin pasti lebih berat dibanding vaksin pertama. Sekelas sinovac aja, utk vaksin dua lgsg demam . Moderna pasti lebih naik",Biasanya memang gt  Efek dosis di masing vaksin pasti lebih berat dibanding vaksin pertama Sekelas sinovac aja utk vaksin dua lgsg demam  Moderna pasti lebih naik,biasanya memang gt  efek dosis di masing vaksin pasti lebih berat dibanding vaksin pertama sekelas sinovac aja utk vaksin dua lgsg demam  moderna pasti lebih naik,"['biasanya', 'memang', 'gt', 'efek', 'dosis', 'di', 'masing', 'vaksin', 'pasti', 'lebih', 'berat', 'dibanding', 'vaksin', 'pertama', 'sekelas', 'sinovac', 'aja', 'utk', 'vaksin', 'dua', 'lgsg', 'demam', 'moderna', 'pasti', 'lebih', 'naik']","['biasanya', 'memang', 'begitu', 'efek', 'dosis', 'di', 'masing', 'vaksin', 'pasti', 'lebih', 'berat', 'dibanding', 'vaksin', 'pertama', 'sekelas', 'sinovac', 'saja', 'untuk', 'vaksin', 'dua', 'langsung', 'demam', 'moderna', 'pasti', 'lebih', 'naik']","['biasanya', 'memang', 'efek', 'dosis', 'masing', 'vaksin', 'lebih', 'berat', 'dibanding', 'vaksin', 'pertama', 'sekelas', 'sinovac', 'vaksin', 'langsung', 'demam', 'moderna', 'lebih', 'naik']","['biasa', 'memang', 'efek', 'dosis', 'masing', 'vaksin', 'lebih', 'berat', 'banding', 'vaksin', 'pertama', 'kelas', 'sinovac', 'vaksin', 'langsung', 'demam', 'moderna', 'lebih', 'naik']","['biasanya', 'memang', 'efek', 'dosis', 'masing', 'vaksin', 'lebih', 'berat', 'dibanding', 'vaksin', 'pertama', 'sekelas', 'sinovac', 'vaksin', 'langsung', 'demam', 'moderna', 'lebih', 'naik']",[],[],[],biasa memang efek dosis masing vaksin lebih berat banding vaksin pertama kelas sinovac vaksin langsung demam moderna lebih naik
Negative,"Soalnya kerabat dekat ku banyak yg gak bisa dapet Astra. Akhirnya lolos di Sinovac... Astra ini berat efek sampingnya. Dan Puskesmas bakal kasih tau vaksin yg cocok. Tensi rendah atau tinggi sedikit aja, tidak bisa",Soalnya kerabat dekat ku banyak yg gak bisa dapet Astra Akhirnya lolos di Sinovac Astra ini berat efek sampingnya Dan Puskesmas bakal kasih tau vaksin yg cocok Tensi rendah atau tinggi sedikit aja tidak bisa,soalnya kerabat dekat ku banyak yg gak bisa dapet astra akhirnya lolos di sinovac astra ini berat efek sampingnya dan puskesmas bakal kasih tau vaksin yg cocok tensi rendah atau tinggi sedikit aja tidak bisa,"['soalnya', 'kerabat', 'dekat', 'ku', 'banyak', 'yg', 'gak', 'bisa', 'dapet', 'astra', 'akhirnya', 'lolos', 'di', 'sinovac', 'astra', 'ini', 'berat', 'efek', 'sampingnya', 'dan', 'puskesmas', 'bakal', 'kasih', 'tau', 'vaksin', 'yg', 'cocok', 'tensi', 'rendah', 'atau', 'tinggi', 'sedikit', 'aja', 'tidak', 'bisa']","['soalnya', 'kerabat', 'dekat', 'ku', 'banyak', 'yang', 'tidak', 'bisa', 'dapat', 'astrazeneca', 'akhirnya', 'lulus', 'di', 'sinovac', 'astrazeneca', 'ini', 'berat', 'efek', 'sampingnya', 'dan', 'puskesmas', 'bakal', 'kasih', 'tau', 'vaksin', 'yang', 'cocok', 'tensi', 'rendah', 'atau', 'tinggi', 'sedikit', 'saja', 'tidak', 'bisa']","['soalnya', 'kerabat', 'dekat', 'banyak', 'astrazeneca', 'akhirnya', 'lulus', 'sinovac', 'astrazeneca', 'berat', 'efek', 'sampingnya', 'puskesmas', 'bakal', 'kasih', 'tau', 'vaksin', 'cocok', 'tensi', 'rendah', 'tinggi', 'sedikit']","['soal', 'kerabat', 'dekat', 'banyak', 'astrazeneca', 'akhir', 'lulus', 'sinovac', 'astrazeneca', 'berat', 'efek', 'samping', 'puskesmas', 'bakal', 'kasih', 'tau', 'vaksin', 'cocok', 'tensi', 'rendah', 'tinggi', 'sedikit']","['soalnya', 'kerabat', 'dekat', 'banyak', 'astrazeneca', 'akhirnya', 'lulu', 'sinovac', 'astrazeneca', 'berat', 'efek', 'sampingnya', 'puskesmas', 'bakal', 'kasih', 'tau', 'vaksin', 'cocok', 'tensi', 'rendah', 'tinggi', 'sedikit']",[],[],[],soal kerabat dekat banyak astrazeneca akhir lulus sinovac astrazeneca berat efek samping puskesmas bakal kasih tau vaksin cocok tensi rendah tinggi sedikit
Negative,"Belum lama ini baru vaksin pertama, alesannya . males ngantri, . takut efek sampingnya mana lagi sibuk skripsi, . takut jarum suntik . Tapi akhirnya vaksin (sinovac) juga kejadian juga yg nomor , - hari badan ga enak. Padahal pas vaksin ga ngerasa apa? selain pegel.",Belum lama ini baru vaksin pertama alesannya  males ngantri  takut efek sampingnya mana lagi sibuk skripsi  takut jarum suntik  Tapi akhirnya vaksin sinovac juga kejadian juga yg nomor   hari badan ga enak Padahal pas vaksin ga ngerasa apa selain pegel,belum lama ini baru vaksin pertama alesannya  males ngantri  takut efek sampingnya mana lagi sibuk skripsi  takut jarum suntik  tapi akhirnya vaksin sinovac juga kejadian juga yg nomor   hari badan ga enak padahal pas vaksin ga ngerasa apa selain pegel,"['belum', 'lama', 'ini', 'baru', 'vaksin', 'pertama', 'alesannya', 'males', 'ngantri', 'takut', 'efek', 'sampingnya', 'mana', 'lagi', 'sibuk', 'skripsi', 'takut', 'jarum', 'suntik', 'tapi', 'akhirnya', 'vaksin', 'sinovac', 'juga', 'kejadian', 'juga', 'yg', 'nomor', 'hari', 'badan', 'ga', 'enak', 'padahal', 'pas', 'vaksin', 'ga', 'ngerasa', 'apa', 'selain', 'pegel']","['belum', 'lama', 'ini', 'baru', 'vaksin', 'pertama', 'alasannya', 'malas', 'mengantre', 'takut', 'efek', 'sampingnya', 'mana', 'lagi', 'sibuk', 'skripsi', 'takut', 'jarum', 'suntik', 'tapi', 'akhirnya', 'vaksin', 'sinovac', 'juga', 'kejadian', 'juga', 'yang', 'nomor', 'hari', 'badan', 'tidak', 'enak', 'padahal', 'saat', 'vaksin', 'tidak', 'merasa', 'apa', 'selain', 'pegal']","['lama', 'baru', 'vaksin', 'pertama', 'alasannya', 'malas', 'mengantre', 'takut', 'efek', 'sampingnya', 'mana', 'sibuk', 'skripsi', 'takut', 'jarum', 'suntik', 'akhirnya', 'vaksin', 'sinovac', 'kejadian', 'nomor', 'hari', 'badan', 'enak', 'padahal', 'vaksin', 'merasa', 'apa', 'pegal']","['lama', 'baru', 'vaksin', 'pertama', 'alas', 'malas', 'antre', 'takut', 'efek', 'samping', 'mana', 'sibuk', 'skripsi', 'takut', 'jarum', 'suntik', 'akhir', 'vaksin', 'sinovac', 'jadi', 'nomor', 'hari', 'badan', 'enak', 'padahal', 'vaksin', 'rasa', 'apa', 'pegal']","['lama', 'baru', 'vaksin', 'pertama', 'alasannya', 'malas', 'mengantre', 'takut', 'efek', 'sampingnya', 'mana', 'sibuk', 'skripsi', 'takut', 'jarum', 'suntik', 'akhirnya', 'vaksin', 'sinovac', 'kejadian', 'nomor', 'hari', 'badan', 'enak', 'padahal', 'vaksin', 'merasa', 'apa', 'pegal']",[],[],[],lama baru vaksin pertama alas malas antre takut efek samping mana sibuk skripsi takut jarum suntik akhir vaksin sinovac jadi nomor hari badan enak padahal vaksin rasa apa pegal
Negative,"Hari ke dan gw masih demam hbs vaksin astrazeneca. Efek sampingnya memang lebih tinggi dari pada vaksin sinovac. Astrazeneca jg gak bisa di pake untuk anak sekolahan ,harus usia thn ke atas.",Hari ke dan gw masih demam hbs vaksin astrazeneca Efek sampingnya memang lebih tinggi dari pada vaksin sinovac Astrazeneca jg gak bisa di pake untuk anak sekolahan harus usia thn ke atas,hari ke dan gw masih demam hbs vaksin astrazeneca efek sampingnya memang lebih tinggi dari pada vaksin sinovac astrazeneca jg gak bisa di pake untuk anak sekolahan harus usia thn ke atas,"['hari', 'ke', 'dan', 'gw', 'masih', 'demam', 'hbs', 'vaksin', 'astrazeneca', 'efek', 'sampingnya', 'memang', 'lebih', 'tinggi', 'dari', 'pada', 'vaksin', 'sinovac', 'astrazeneca', 'jg', 'gak', 'bisa', 'di', 'pake', 'untuk', 'anak', 'sekolahan', 'harus', 'usia', 'thn', 'ke', 'atas']","['hari', 'ke', 'dan', 'aku', 'masih', 'demam', 'setelah', 'vaksin', 'astrazeneca', 'efek', 'sampingnya', 'memang', 'lebih', 'tinggi', 'dari', 'pada', 'vaksin', 'sinovac', 'astrazeneca', 'juga', 'tidak', 'bisa', 'di', 'pakai', 'untuk', 'anak', 'sekolahan', 'harus', 'usia', 'tahun', 'ke', 'atas']","['hari', 'demam', 'vaksin', 'astrazeneca', 'efek', 'sampingnya', 'memang', 'lebih', 'tinggi', 'vaksin', 'sinovac', 'astrazeneca', 'pakai', 'anak', 'sekolahan', 'usia', 'tahun', 'atas']","['hari', 'demam', 'vaksin', 'astrazeneca', 'efek', 'samping', 'memang', 'lebih', 'tinggi', 'vaksin', 'sinovac', 'astrazeneca', 'pakai', 'anak', 'sekolah', 'usia', 'tahun', 'atas']","['hari', 'demam', 'vaksin', 'astrazeneca', 'efek', 'sampingnya', 'memang', 'lebih', 'tinggi', 'vaksin', 'sinovac', 'astrazeneca', 'pakai', 'anak', 'sekolahan', 'usia', 'tahun', 'atas']",[],[],[],hari demam vaksin astrazeneca efek samping memang lebih tinggi vaksin sinovac astrazeneca pakai anak sekolah usia tahun atas
Negative,"Nggak kalo nggak salah kan pfizer tuh baru vaksin langsung demam beberapa hari gitu efeknya, nah kalo sinovac efek awalnya belum keliatan tuh nanti pada udah lama baru keliatan efeknya gitu sih yang gua tangkep",Nggak kalo nggak salah kan pfizer tuh baru vaksin langsung demam beberapa hari gitu efeknya nah kalo sinovac efek awalnya belum keliatan tuh nanti pada udah lama baru keliatan efeknya gitu sih yang gua tangkep,nggak kalo nggak salah kan pfizer tuh baru vaksin langsung demam beberapa hari gitu efeknya nah kalo sinovac efek awalnya belum keliatan tuh nanti pada udah lama baru keliatan efeknya gitu sih yang gua tangkep,"['nggak', 'kalo', 'nggak', 'salah', 'kan', 'pfizer', 'tuh', 'baru', 'vaksin', 'langsung', 'demam', 'beberapa', 'hari', 'gitu', 'efeknya', 'nah', 'kalo', 'sinovac', 'efek', 'awalnya', 'belum', 'keliatan', 'tuh', 'nanti', 'pada', 'udah', 'lama', 'baru', 'keliatan', 'efeknya', 'gitu', 'sih', 'yang', 'gua', 'tangkep']","['tidak', 'kalau', 'tidak', 'salah', 'kan', 'pfizer', 'itu', 'baru', 'vaksin', 'langsung', 'demam', 'beberapa', 'hari', 'begitu', 'efeknya', 'nah', 'kalau', 'sinovac', 'efek', 'awalnya', 'belum', 'keliatan', 'itu', 'nanti', 'pada', 'sudah', 'lama', 'baru', 'keliatan', 'efeknya', 'begitu', 'sih', 'yang', 'aku', 'tangkap']","['kalau', 'salah', 'kan', 'pfizer', 'baru', 'vaksin', 'langsung', 'demam', 'beberapa', 'hari', 'efeknya', 'nah', 'kalau', 'sinovac', 'efek', 'awalnya', 'keliatan', 'lama', 'baru', 'keliatan', 'efeknya', 'tangkap']","['kalau', 'salah', 'kan', 'pfizer', 'baru', 'vaksin', 'langsung', 'demam', 'beberapa', 'hari', 'efek', 'nah', 'kalau', 'sinovac', 'efek', 'awal', 'liat', 'lama', 'baru', 'liat', 'efek', 'tangkap']","['kalau', 'salah', 'kan', 'pfizer', 'baru', 'vaksin', 'langsung', 'demam', 'beberapa', 'hari', 'efeknya', 'nah', 'kalau', 'sinovac', 'efek', 'awalnya', 'keliatan', 'lama', 'baru', 'keliatan', 'efeknya', 'tangkap']",[],[],[],kalau salah kan pfizer baru vaksin langsung demam beberapa hari efek nah kalau sinovac efek awal liat lama baru liat efek tangkap
Negative,"Kalau aku pribadi efek dari vaksin sinovac pegel di bagian bekas suntiknya, tapi pas vaksin ke malah ga tau nya kena gastroenteritis (lgi ga lucky kek nya)",Kalau aku pribadi efek dari vaksin sinovac pegel di bagian bekas suntiknya tapi pas vaksin ke malah ga tau nya kena gastroenteritis lgi ga lucky kek nya,kalau aku pribadi efek dari vaksin sinovac pegel di bagian bekas suntiknya tapi pas vaksin ke malah ga tau nya kena gastroenteritis lgi ga lucky kek nya,"['kalau', 'aku', 'pribadi', 'efek', 'dari', 'vaksin', 'sinovac', 'pegel', 'di', 'bagian', 'bekas', 'suntiknya', 'tapi', 'pas', 'vaksin', 'ke', 'malah', 'ga', 'tau', 'nya', 'kena', 'gastroenteritis', 'lgi', 'ga', 'lucky', 'kek', 'nya']","['kalau', 'aku', 'pribadi', 'efek', 'dari', 'vaksin', 'sinovac', 'pegal', 'di', 'bagian', 'bekas', 'suntiknya', 'tapi', 'saat', 'vaksin', 'ke', 'bahkan', 'tidak', 'tau', 'nya', 'terkena', 'gastroenteritis', 'lagi', 'tidak', 'beruntung', 'seperti', 'nya']","['kalau', 'pribadi', 'efek', 'vaksin', 'sinovac', 'pegal', 'bagian', 'bekas', 'suntiknya', 'vaksin', 'bahkan', 'tau', 'terkena', 'gastroenteritis', 'beruntung']","['kalau', 'pribadi', 'efek', 'vaksin', 'sinovac', 'pegal', 'bagi', 'bekas', 'suntik', 'vaksin', 'bahkan', 'tau', 'kena', 'gastroenteritis', 'untung']","['kalau', 'pribadi', 'efek', 'vaksin', 'sinovac', 'pegal', 'bagian', 'bekas', 'suntiknya', 'vaksin', 'bahkan', 'tau', 'terkena', 'gastroenteritis', 'beruntung']",[],[],[],kalau pribadi efek vaksin sinovac pegal bagi bekas suntik vaksin bahkan tau kena gastroenteritis untung
Negative,"iya gak mau, dikantor yg vaksin trakhir itu saya kak, saya tunda mulu karna saya jujurly takut efek samping kedepannya. walopun cm make sinovac. tp badan brasa bgt cepet capek. pdhl sering mnum vit  atau imboost pasca vaksin. emg HRD ku aja yg kek anjing",iya gak mau dikantor yg vaksin trakhir itu saya kak saya tunda mulu karna saya jujurly takut efek samping kedepannya walopun cm make sinovac tp badan brasa bgt cepet capek pdhl sering mnum vit  atau imboost pasca vaksin emg HRD ku aja yg kek anjing,iya gak mau dikantor yg vaksin trakhir itu saya kak saya tunda mulu karna saya jujurly takut efek samping kedepannya walopun cm make sinovac tp badan brasa bgt cepet capek pdhl sering mnum vit  atau imboost pasca vaksin emg hrd ku aja yg kek anjing,"['iya', 'gak', 'mau', 'dikantor', 'yg', 'vaksin', 'trakhir', 'itu', 'saya', 'kak', 'saya', 'tunda', 'mulu', 'karna', 'saya', 'jujurly', 'takut', 'efek', 'samping', 'kedepannya', 'walopun', 'cm', 'make', 'sinovac', 'tp', 'badan', 'brasa', 'bgt', 'cepet', 'capek', 'pdhl', 'sering', 'mnum', 'vit', 'atau', 'imboost', 'pasca', 'vaksin', 'emg', 'hrd', 'ku', 'aja', 'yg', 'kek', 'anjing']","['iya', 'tidak', 'mau', 'dikantor', 'yang', 'vaksin', 'terakhir', 'itu', 'saya', 'kak', 'saya', 'tunda', 'terus', 'karena', 'saya', 'jujur', 'takut', 'efek', 'samping', 'kedepannya', 'walaupun', 'hanya', 'membuat', 'sinovac', 'tapi', 'badan', 'terasa', 'sekali', 'cepat', 'capai', 'padahal', 'sering', 'minum', 'vitamin', 'atau', 'imboost', 'sesudah', 'vaksin', 'memang', 'hrd', 'ku', 'saja', 'yang', 'seperti', 'anjing']","['mau', 'dikantor', 'vaksin', 'terakhir', 'tunda', 'terus', 'jujur', 'takut', 'efek', 'samping', 'kedepannya', 'walaupun', 'membuat', 'sinovac', 'badan', 'terasa', 'sekali', 'cepat', 'capai', 'padahal', 'sering', 'minum', 'vitamin', 'imboost', 'vaksin', 'memang', 'hrd', 'anjing']","['mau', 'kantor', 'vaksin', 'akhir', 'tunda', 'terus', 'jujur', 'takut', 'efek', 'samping', 'depan', 'walaupun', 'buat', 'sinovac', 'badan', 'asa', 'sekali', 'cepat', 'capai', 'padahal', 'sering', 'minum', 'vitamin', 'imboost', 'vaksin', 'memang', 'hrd', 'anjing']","['mau', 'dikantor', 'vaksin', 'terakhir', 'tunda', 'terus', 'jujur', 'takut', 'efek', 'samping', 'kedepannya', 'walaupun', 'membuat', 'sinovac', 'badan', 'terasa', 'sekali', 'cepat', 'capai', 'padahal', 'sering', 'minum', 'vitamin', 'imboost', 'vaksin', 'memang', 'hrd', 'anjing']",[],[],[],mau kantor vaksin akhir tunda terus jujur takut efek samping depan walaupun buat sinovac badan asa sekali cepat capai padahal sering minum vitamin imboost vaksin memang hrd anjing
Negative,weeeeh nggak ada yang sinovac apa kak? aku pas mau vaksin didaftarin mama sinovac karena kata orang moderna efek sampingnya gitu... sinovac vaksin kedua aja tanganku pegel....,weeeeh nggak ada yang sinovac apa kak aku pas mau vaksin didaftarin mama sinovac karena kata orang moderna efek sampingnya gitu sinovac vaksin kedua aja tanganku pegel,weeeeh nggak ada yang sinovac apa kak aku pas mau vaksin didaftarin mama sinovac karena kata orang moderna efek sampingnya gitu sinovac vaksin kedua aja tanganku pegel,"['weeeeh', 'nggak', 'ada', 'yang', 'sinovac', 'apa', 'kak', 'aku', 'pas', 'mau', 'vaksin', 'didaftarin', 'mama', 'sinovac', 'karena', 'kata', 'orang', 'moderna', 'efek', 'sampingnya', 'gitu', 'sinovac', 'vaksin', 'kedua', 'aja', 'tanganku', 'pegel']","['weeeeh', 'tidak', 'ada', 'yang', 'sinovac', 'apa', 'kak', 'aku', 'saat', 'mau', 'vaksin', 'didaftarkan', 'ibu', 'sinovac', 'karena', 'kata', 'orang', 'moderna', 'efek', 'sampingnya', 'begitu', 'sinovac', 'vaksin', 'kedua', 'saja', 'tanganku', 'pegal']","['sinovac', 'apa', 'mau', 'vaksin', 'didaftarkan', 'ibu', 'sinovac', 'kata', 'orang', 'moderna', 'efek', 'sampingnya', 'sinovac', 'vaksin', 'kedua', 'tanganku', 'pegal']","['sinovac', 'apa', 'mau', 'vaksin', 'daftar', 'ibu', 'sinovac', 'kata', 'orang', 'moderna', 'efek', 'samping', 'sinovac', 'vaksin', 'dua', 'tangan', 'pegal']","['sinovac', 'apa', 'mau', 'vaksin', 'didaftarkan', 'ibu', 'sinovac', 'kata', 'orang', 'moderna', 'efek', 'sampingnya', 'sinovac', 'vaksin', 'kedua', 'tanganku', 'pegal']",[],[],[],sinovac apa mau vaksin daftar ibu sinovac kata orang moderna efek samping sinovac vaksin dua tangan pegal
Negative,Efek samping vaksin sinovac ke idung meler sebelah,Efek samping vaksin sinovac ke idung meler sebelah,efek samping vaksin sinovac ke idung meler sebelah,"['efek', 'samping', 'vaksin', 'sinovac', 'ke', 'idung', 'meler', 'sebelah']","['efek', 'samping', 'vaksin', 'sinovac', 'ke', 'hidung', 'mengalir', 'sebelah']","['efek', 'samping', 'vaksin', 'sinovac', 'hidung', 'mengalir', 'sebelah']","['efek', 'samping', 'vaksin', 'sinovac', 'hidung', 'alir', 'belah']","['efek', 'samping', 'vaksin', 'sinovac', 'hidung', 'mengalir', 'sebelah']",[],[],[],efek samping vaksin sinovac hidung alir belah
